t / s;I / A
3481703521.068874;0.003000
3481703521.082875;0.002000
3481703521.091876;0.000000
3481703521.100876;0.004000
3481703521.110877;0.003000
3481703521.119877;0.000000
3481703521.128878;0.008000
3481703521.142879;0.005000
3481703521.152879;0.003000
3481703521.161880;0.004000
3481703521.170880;0.001000
3481703521.180881;0.000000
3481703521.189881;0.002000
3481703521.199882;0.005000
3481703521.208882;0.001000
3481703521.221883;0.005000
3481703521.230884;0.002000
3481703521.239884;0.008000
3481703521.248885;0.000000
3481703521.261885;0.000000
3481703521.270885;0.001000
3481703521.279886;0.001000
3481703521.288887;0.000000
3481703521.301888;0.004000
3481703521.310888;0.001000
3481703521.319889;0.001000
3481703521.328889;0.002000
3481703521.342890;0.003000
3481703521.351891;0.001000
3481703521.361891;0.000000
3481703521.371891;0.002000
3481703521.380892;0.004000
3481703521.389893;0.000000
3481703521.398893;0.001000
3481703521.411894;0.001000
3481703521.420894;0.004000
3481703521.432895;0.001000
3481703521.442895;0.001000
3481703521.451896;0.004000
3481703521.461896;0.003000
3481703521.471897;0.000000
3481703521.483898;0.002000
3481703521.498899;0.000000
3481703521.508899;0.001000
3481703521.525900;0.004000
3481703521.531900;0.001000
3481703521.541901;0.003000
3481703521.550902;0.001000
3481703521.559902;0.000000
3481703521.568903;0.002000
3481703521.578903;0.000000
3481703521.588904;0.002000
3481703521.598905;0.002000
3481703521.608905;0.000000
3481703521.618906;0.002000
3481703521.631907;0.003000
3481703521.641907;0.001000
3481703521.651907;0.001000
3481703521.660908;0.001000
3481703521.669909;0.001000
3481703521.679909;0.001000
3481703521.688910;0.000000
3481703521.698910;0.006000
3481703521.709911;0.004000
3481703521.719912;0.001000
3481703521.728912;0.002000
3481703521.742913;0.001000
3481703521.752913;0.000000
3481703521.761914;0.002000
3481703521.770914;0.001000
3481703521.779915;0.000000
3481703521.788915;0.003000
3481703521.798916;0.005000
3481703521.811917;0.000000
3481703521.820917;0.007000
3481703521.830918;0.002000
3481703521.839918;0.002000
3481703521.848919;0.001000
3481703521.861919;0.004000
3481703521.870920;0.003000
3481703521.879920;0.000000
3481703521.888921;0.004000
3481703521.901922;0.003000
3481703521.910923;0.000000
3481703521.919923;0.000000
3481703521.928924;0.000000
3481703521.942924;0.001000
3481703521.948925;0.001000
3481703521.958925;0.000000
3481703521.968925;0.001000
3481703521.978926;0.004000
3481703521.988927;0.000000
3481703521.999928;0.002000
3481703522.009928;0.000000
3481703522.018929;0.001000
3481703522.031929;0.004000
3481703522.042930;0.002000
3481703522.051930;0.001000
3481703522.060931;0.003000
3481703522.069932;0.007000
3481703522.079932;0.004000
3481703522.088933;0.002000
3481703522.105934;0.001000
3481703522.114934;0.000000
3481703522.123934;0.006000
3481703522.132935;0.002000
3481703522.139935;0.000000
3481703522.149936;0.004000
3481703522.158936;0.001000
3481703522.171937;0.001000
3481703522.181938;0.001000
3481703522.190938;0.001000
3481703522.199939;0.000000
3481703522.208940;0.004000
3481703522.217940;0.000000
3481703522.230941;0.003000
3481703522.239941;0.000000
3481703522.249942;0.001000
3481703522.258942;0.003000
3481703522.271943;0.000000
3481703522.280943;0.003000
3481703522.289944;0.001000
3481703522.299944;0.002000
3481703522.309945;0.004000
3481703522.319946;0.001000
3481703522.328946;0.001000
3481703522.338947;0.000000
3481703522.351948;0.000000
3481703522.360948;0.006000
3481703522.370949;0.005000
3481703522.379949;0.002000
3481703522.389950;0.002000
3481703522.398950;0.005000
3481703522.407951;0.000000
3481703522.417951;0.000000
3481703522.427952;0.000000
3481703522.440953;0.000000
3481703522.449953;0.003000
3481703522.459954;0.006000
3481703522.468954;0.002000
3481703522.477955;0.005000
3481703522.487955;0.001000
3481703522.500956;0.000000
3481703522.509957;0.001000
3481703522.520957;0.001000
3481703522.531958;0.000000
3481703522.537958;0.004000
3481703522.547959;0.001000
3481703522.560959;0.005000
3481703522.569960;0.000000
3481703522.578960;0.001000
3481703522.587961;0.001000
3481703522.600962;0.000000
3481703522.609962;0.005000
3481703522.618963;0.003000
3481703522.627963;0.005000
3481703522.641964;0.003000
3481703522.651965;0.000000
3481703522.660965;0.003000
3481703522.670966;0.000000
3481703522.679966;0.001000
3481703522.688967;0.002000
3481703522.698967;0.005000
3481703522.708968;0.005000
3481703522.717968;0.003000
3481703522.734970;0.001000
3481703522.744970;0.001000
3481703522.750970;0.001000
3481703522.759971;0.000000
3481703522.768971;0.007000
3481703522.777972;0.001000
3481703522.791973;0.001000
3481703522.800973;0.004000
3481703522.810974;0.006000
3481703522.819974;0.003000
3481703522.828975;0.001000
3481703522.837975;0.002000
3481703522.851976;0.003000
3481703522.860977;0.004000
3481703522.869977;0.003000
3481703522.878978;0.002000
3481703522.887978;0.001000
3481703522.897979;0.000000
3481703522.907979;0.001000
3481703522.917980;0.000000
3481703522.927980;0.001000
3481703522.940981;0.004000
3481703522.949982;0.003000
3481703522.959982;0.000000
3481703522.968983;0.002000
3481703522.977983;0.003000
3481703522.990984;0.001000
3481703522.999985;0.003000
3481703523.008985;0.000000
3481703523.017986;0.000000
3481703523.027986;0.007000
3481703523.040987;0.000000
3481703523.049987;0.002000
3481703523.058988;0.006000
3481703523.067988;0.003000
3481703523.080989;0.002000
3481703523.089990;0.000000
