t / s;I / A
45.098000;39.941569
45.136000;39.943159
45.174000;39.942364
45.212000;39.943159
45.250000;39.941569
45.288000;39.940774
45.326000;39.940774
45.364000;39.940774
45.402000;39.939994
45.440000;39.942364
45.478000;39.940774
45.516000;39.939994
45.554000;39.938404
45.592000;39.941569
45.630000;39.941569
45.668000;39.940774
45.706000;39.941569
45.744000;39.940774
45.782000;39.938404
45.821000;39.939994
45.859000;39.939994
45.897000;39.939994
45.935000;39.943954
45.973000;39.943159
46.011000;39.940774
46.049000;39.942364
46.087000;39.940774
46.125000;39.941569
46.163000;39.941569
46.201000;39.940774
46.239000;39.940774
46.277000;39.940774
46.315000;39.941569
46.353000;39.942364
46.391000;39.939994
46.429000;39.940774
46.467000;39.939199
46.505000;39.939199
46.544000;39.940774
46.582000;39.941569
46.620000;39.940774
46.658000;39.941569
46.696000;39.941569
46.734000;39.939994
46.772000;39.941569
46.810000;39.939994
46.848000;39.940774
46.886000;39.941569
46.924000;39.940774
46.962000;39.940774
47.000000;39.941569
47.038000;39.939994
47.076000;39.942364
47.114000;39.942364
47.153000;39.943159
47.191000;39.941569
47.229000;39.942364
47.267000;39.941569
47.305000;39.943954
47.343000;39.942364
47.381000;39.942364
47.419000;39.941569
47.457000;39.940774
47.495000;39.943159
47.533000;39.941569
47.571000;39.943159
47.609000;39.941569
47.647000;39.940774
47.685000;39.942364
47.723000;39.942364
47.761000;39.939199
47.799000;39.941569
47.837000;39.940774
47.875000;39.940774
47.913000;39.942364
47.951000;39.939994
47.989000;39.939994
48.028000;39.942364
48.066000;39.942364
48.104000;39.939994
48.142000;39.940774
48.180000;39.940774
48.218000;39.942364
48.256000;39.941569
48.294000;39.941569
48.332000;39.942364
48.370000;39.941569
48.408000;39.939994
48.446000;39.940774
48.484000;39.940774
48.522000;39.943159
48.560000;39.942364
48.598000;39.940774
48.636000;39.939994
48.675000;39.939994
48.713000;39.942364
48.751000;39.939994
48.789000;39.940774
48.827000;39.941569
48.865000;39.940774
48.903000;39.940774
48.941000;39.943954
48.979000;39.941569
49.017000;39.941569
49.055000;39.941569
49.093000;39.942364
49.132000;39.942364
49.170000;39.942364
49.208000;39.939994
49.246000;39.941569
49.284000;39.940774
49.322000;39.941569
49.360000;39.942364
49.398000;39.941569
49.436000;24.340057
49.474000;39.994112
49.512000;40.069379
49.550000;40.063035
49.588000;40.055910
49.626000;40.043235
49.664000;40.035316
49.702000;40.025011
49.741000;40.015501
49.779000;40.005212
49.817000;39.992537
49.855000;39.979863
49.893000;39.968763
49.931000;39.960048
49.969000;39.963213
50.007000;39.962433
50.045000;39.965598
50.083000;39.967968
50.122000;39.967968
50.160000;39.967968
50.198000;39.967968
50.236000;39.967188
50.274000;39.967188
50.312000;39.967968
50.350000;39.967188
50.388000;39.964803
50.426000;39.966393
50.464000;39.965598
50.502000;39.968763
50.540000;39.968763
50.578000;39.967968
50.616000;39.968763
50.655000;39.968763
50.693000;39.968763
50.731000;39.968763
50.769000;39.967968
50.807000;39.967968
50.845000;39.967188
50.883000;39.967188
50.921000;39.967968
50.959000;39.967188
50.997000;39.964803
51.035000;39.966393
51.073000;39.966393
51.111000;39.966393
51.149000;39.967188
51.187000;39.967968
51.226000;39.967968
51.264000;39.965598
51.302000;39.968763
51.340000;39.967968
51.378000;39.968763
51.416000;39.966393
51.454000;39.966393
51.492000;39.966393
51.531000;39.968763
51.569000;39.967188
51.607000;39.966393
51.645000;39.966393
51.683000;39.966393
51.721000;39.965598
51.759000;39.967188
51.797000;39.968763
51.835000;39.967188
51.873000;39.966393
51.911000;39.967188
51.949000;39.967968
51.987000;39.967968
52.025000;39.967968
52.063000;39.966393
52.101000;39.965598
52.139000;39.964803
52.177000;39.965598
52.215000;39.967968
52.253000;39.967188
52.292000;39.967188
52.330000;39.967968
52.368000;39.969558
52.406000;39.968763
52.444000;39.970353
52.482000;39.968763
52.520000;39.967188
52.558000;39.964803
52.596000;39.967968
52.634000;39.967188
52.672000;39.967188
52.710000;39.967188
52.748000;39.967188
52.787000;39.966393
52.825000;39.966393
52.863000;39.967968
52.901000;39.966393
52.939000;39.966393
52.977000;39.964803
53.015000;39.967968
53.053000;39.965598
53.091000;39.967188
53.130000;39.967188
